timestamp,tracker_id,type,message,lat,lng,heading,status
2025-11-11T11:29:12.162Z,TRK-001,online,Tracker came online,,,,
2025-11-11T11:29:12.203Z,TRK-001,location_update,,16.615897,120.317610,108,online
2025-11-11T11:29:14.215Z,TRK-001,location_update,,16.616307,120.316880,300,online
2025-11-11T11:29:16.217Z,TRK-001,location_update,,16.616821,120.316028,302,online
2025-11-11T11:29:18.224Z,TRK-001,location_update,,16.617200,120.315307,299,online
2025-11-11T11:29:20.229Z,TRK-001,location_update,,16.617461,120.314744,296,online
2025-11-11T11:29:22.234Z,TRK-001,location_update,,16.617930,120.313853,299,online
2025-11-11T11:29:24.250Z,TRK-001,location_update,,16.618420,120.312998,301,online
2025-11-11T11:29:26.265Z,TRK-001,location_update,,16.618908,120.312182,302,online
2025-11-11T11:29:28.267Z,TRK-001,location_update,,16.618652,120.311673,242,online
2025-11-11T11:29:30.283Z,TRK-001,location_update,,16.618359,120.311002,246,online
2025-11-11T11:29:32.284Z,TRK-001,location_update,,16.617923,120.310079,244,online
2025-11-11T11:29:34.296Z,TRK-001,location_update,,16.617759,120.310738,105,online
2025-11-11T11:29:36.300Z,TRK-001,location_update,,16.617482,120.311707,107,online
2025-11-11T11:29:38.313Z,TRK-001,location_update,,16.617331,120.312405,103,online
2025-11-11T11:29:40.317Z,TRK-001,location_update,,16.617122,120.313132,107,online
2025-11-11T11:29:42.328Z,TRK-001,location_update,,16.616866,120.314052,106,online
2025-11-11T11:29:44.330Z,TRK-001,location_update,,16.616666,120.315077,101,online
2025-11-11T11:29:46.341Z,TRK-001,location_update,,16.616465,120.315755,107,online
2025-11-11T11:29:48.349Z,TRK-001,location_update,,16.616326,120.316456,102,online
2025-11-11T11:29:50.362Z,TRK-001,location_update,,16.616897,120.316730,25,online
2025-11-11T11:29:52.378Z,TRK-001,location_update,,16.617725,120.317150,26,online
2025-11-11T11:29:54.389Z,TRK-001,location_update,,16.618407,120.317512,27,online
2025-11-11T11:29:56.392Z,TRK-001,location_update,,16.618978,120.317796,25,online
2025-11-11T11:29:58.403Z,TRK-001,location_update,,16.619525,120.318068,25,online
2025-11-11T11:30:00.421Z,TRK-001,location_update,,16.620312,120.318471,26,online
2025-11-11T11:30:02.421Z,TRK-001,location_update,,16.620923,120.318799,27,online
2025-11-11T11:30:04.431Z,TRK-001,location_update,,16.621747,120.319187,24,online
2025-11-11T11:30:06.440Z,TRK-001,location_update,,16.622292,120.319473,27,online
2025-11-11T11:30:08.449Z,TRK-001,location_update,,16.622948,120.319844,28,online
2025-11-11T11:30:10.462Z,TRK-001,location_update,,16.623811,120.320313,28,online
2025-11-11T11:29:12.196Z,TRK-002,online,Tracker came online,,,,
2025-11-11T11:29:12.203Z,TRK-002,location_update,,16.615930,120.317614,61,online
2025-11-11T11:29:14.215Z,TRK-002,location_update,,16.615288,120.317833,162,online
2025-11-11T11:29:16.217Z,TRK-002,location_update,,16.614623,120.318078,161,online
2025-11-11T11:29:18.224Z,TRK-002,location_update,,16.613793,120.318328,164,online
2025-11-11T11:29:20.229Z,TRK-002,location_update,,16.614717,120.317665,325,online
2025-11-11T11:29:22.234Z,TRK-002,location_update,,16.615296,120.317313,330,online
2025-11-11T11:29:24.250Z,TRK-002,location_update,,16.616102,120.316752,326,online
2025-11-11T11:29:26.265Z,TRK-002,location_update,,16.616800,120.316232,324,online
2025-11-11T11:29:28.268Z,TRK-002,location_update,,16.617415,120.315744,323,online
2025-11-11T11:29:30.283Z,TRK-002,location_update,,16.617878,120.315381,323,online
2025-11-11T11:29:32.284Z,TRK-002,location_update,,16.618616,120.314947,331,online
2025-11-11T11:29:34.296Z,TRK-002,location_update,,16.619124,120.314567,324,online
2025-11-11T11:29:36.300Z,TRK-002,location_update,,16.619665,120.314197,327,online
2025-11-11T11:29:38.313Z,TRK-002,location_update,,16.620232,120.313716,321,online
2025-11-11T11:29:40.317Z,TRK-002,location_update,,16.619688,120.314244,137,online
2025-11-11T11:29:42.328Z,TRK-002,location_update,,16.619165,120.314820,133,online
2025-11-11T11:29:44.330Z,TRK-002,location_update,,16.618727,120.315208,140,online
2025-11-11T11:29:46.341Z,TRK-002,location_update,,16.618183,120.315763,136,online
2025-11-11T11:29:48.349Z,TRK-002,location_update,,16.617707,120.316249,136,online
2025-11-11T11:29:50.363Z,TRK-002,location_update,,16.617120,120.316886,134,online
2025-11-11T11:29:52.378Z,TRK-002,location_update,,16.617882,120.317637,43,online
2025-11-11T11:29:54.389Z,TRK-002,location_update,,16.618497,120.318259,44,online
2025-11-11T11:29:56.392Z,TRK-002,location_update,,16.619014,120.318788,44,online
2025-11-11T11:29:58.403Z,TRK-002,location_update,,16.619710,120.319506,45,online
2025-11-11T11:30:00.421Z,TRK-002,location_update,,16.620420,120.320226,44,online
2025-11-11T11:30:02.421Z,TRK-002,location_update,,16.620828,120.320655,45,online
2025-11-11T11:30:04.431Z,TRK-002,location_update,,16.621264,120.321049,41,online
2025-11-11T11:30:06.440Z,TRK-002,location_update,,16.621815,120.321555,41,online
2025-11-11T11:30:08.449Z,TRK-002,location_update,,16.622445,120.322227,46,online
2025-11-11T11:30:10.462Z,TRK-002,location_update,,16.622981,120.322712,41,online
